Date,Utility,SARS_CoV_2_copies_L,Number_of_New_COVID19_Cases_by_,ObjectId
08/17/2020,Fort Collins - Mulberry,1453.6,0,147
08/17/2020,Greeley,20071.1,0,148
08/17/2020,Longmont,5119,0,149
08/17/2020,Louisville,0,0,150
08/17/2020,Loveland,,0,151
08/17/2020,Metro Wastewater RWHTF - CC,,24,152
08/17/2020,Metro Wastewater RWHTF - PRC,24940.5,40,153
08/17/2020,Northglenn,,0,154
08/17/2020,Pueblo,14604.2,5,155
08/17/2020,Pueblo West,,0,156
08/17/2020,South Adams County,4106.2,5,157
08/17/2020,South Fort Collins,5676.9,0,158
08/03/2020,Aurora,,17,159
08/03/2020,Boulder,,0,160
08/03/2020,Broomfield,,0,161
08/03/2020,CO Springs - JD Phillips,,6,162
08/03/2020,CO Springs - Las Vegas,,27,163
08/03/2020,Estes Park + Upper Thompson,,0,164
08/03/2020,Fort Collins - Boxelder,,0,165
08/03/2020,Fort Collins - Drake,,0,166
08/03/2020,Fort Collins - Mulberry,,0,167
08/03/2020,Greeley,,0,168
08/03/2020,Longmont,,0,169
08/03/2020,Louisville,,0,170
08/03/2020,Loveland,,0,171
08/03/2020,Metro Wastewater RWHTF - CC,,29,172
08/03/2020,Metro Wastewater RWHTF - PRC,,48,173
08/03/2020,Northglenn,,0,174
08/03/2020,Pueblo,,0,175
08/03/2020,Pueblo West,,0,176
08/03/2020,South Adams County,,6,177
08/03/2020,South Fort Collins,,0,178
08/03/2020,SPR,,12,179
08/03/2020,Wellington Water and Sewer,,0,180
08/04/2020,Aurora,,19,181
08/04/2020,Boulder,,0,182
08/04/2020,Broomfield,,0,183
08/04/2020,CO Springs - JD Phillips,,6,184
08/04/2020,CO Springs - Las Vegas,,25,185
08/04/2020,Estes Park + Upper Thompson,,0,186
08/05/2020,CO Springs - JD Phillips,,5,187
08/05/2020,CO Springs - Las Vegas,,28,188
08/05/2020,Estes Park + Upper Thompson,,0,189
08/05/2020,Fort Collins - Boxelder,,0,190
08/05/2020,Fort Collins - Drake,,9,191
08/05/2020,Fort Collins - Mulberry,,6,192
08/05/2020,Greeley,,5,193
08/09/2020,South Adams County,,6,194
08/05/2020,Longmont,,0,195
08/12/2020,CO Springs - JD Phillips,,6,196
08/07/2020,Loveland,,0,197
08/09/2020,South Fort Collins,,0,198
08/05/2020,Louisville,,0,199
08/12/2020,CO Springs - Las Vegas,,27,200
08/07/2020,Metro Wastewater RWHTF - CC,,40,201
08/09/2020,SPR,,8,202
08/05/2020,Loveland,,0,203
08/12/2020,Estes Park + Upper Thompson,,0,204
08/07/2020,Metro Wastewater RWHTF - PRC,,50,205
08/09/2020,Wellington Water and Sewer,,0,206
08/05/2020,Metro Wastewater RWHTF - CC,,43,207
08/12/2020,Fort Collins - Boxelder,,0,208
08/07/2020,Northglenn,,7,209
08/10/2020,Aurora,18286.1,19,210
08/05/2020,Metro Wastewater RWHTF - PRC,,61,211
08/12/2020,Fort Collins - Drake,,9,212
08/07/2020,Pueblo,,5,213
08/13/2020,Fort Collins - Mulberry,4914.2,0,214
08/10/2020,Boulder,,0,215
08/10/2020,Broomfield,9069.9,0,216
08/10/2020,CO Springs - JD Phillips,19366.9,5,217
08/10/2020,CO Springs - Las Vegas,25339.9,20,218
08/10/2020,Estes Park + Upper Thompson,5572.5,0,219
08/10/2020,Fort Collins - Boxelder,2554.4,0,220
08/10/2020,Fort Collins - Drake,2755.9,0,221
08/10/2020,Fort Collins - Mulberry,23079.3,0,222
08/10/2020,Greeley,16073.5,5,223
08/10/2020,Longmont,,0,224
08/10/2020,Louisville,81151.8,0,225
08/10/2020,Loveland,,0,226
08/10/2020,Metro Wastewater RWHTF - CC,,23,227
08/10/2020,Metro Wastewater RWHTF - PRC,14862.1,48,228
08/10/2020,Northglenn,13357.1,0,229
08/10/2020,Pueblo,9202.8,0,230
08/10/2020,Pueblo West,,0,231
08/10/2020,South Adams County,5308.3,5,232
08/10/2020,South Fort Collins,2512,0,233
08/10/2020,SPR,2500.4,10,234
08/10/2020,Wellington Water and Sewer,,0,235
08/11/2020,Aurora,,19,236
08/11/2020,Boulder,,0,237
08/13/2020,Greeley,19595.9,0,238
08/13/2020,Longmont,,0,239
08/13/2020,Louisville,1730.1,0,240
08/13/2020,Loveland,,0,241
08/13/2020,Metro Wastewater RWHTF - CC,,34,242
08/13/2020,Metro Wastewater RWHTF - PRC,9358.1,44,243
08/13/2020,Northglenn,,0,244
08/13/2020,Pueblo,1779.8,5,245
08/13/2020,Pueblo West,,0,246
08/13/2020,South Adams County,7111.4,0,247
08/13/2020,South Fort Collins,1624.6,0,248
08/13/2020,SPR,7065.8,8,249
08/13/2020,Wellington Water and Sewer,,0,250
08/14/2020,Aurora,,24,251
08/14/2020,Boulder,,0,252
08/14/2020,Broomfield,,0,253
08/14/2020,CO Springs - JD Phillips,,0,254
08/14/2020,CO Springs - Las Vegas,,20,255
08/14/2020,Estes Park + Upper Thompson,,0,256
08/14/2020,Fort Collins - Boxelder,,0,257
08/14/2020,Fort Collins - Drake,,5,258
08/14/2020,Fort Collins - Mulberry,,0,259
08/14/2020,Greeley,,0,260
08/14/2020,Longmont,,0,261
08/14/2020,Louisville,,0,262
08/14/2020,Loveland,,0,263
08/14/2020,Metro Wastewater RWHTF - CC,,29,264
08/14/2020,Metro Wastewater RWHTF - PRC,,39,265
08/14/2020,Northglenn,,0,266
08/14/2020,Pueblo,,6,267
08/14/2020,Pueblo West,,0,268
08/14/2020,South Adams County,,0,269
08/14/2020,South Fort Collins,,0,270
08/14/2020,SPR,,8,271
08/14/2020,Wellington Water and Sewer,,0,272
08/15/2020,Aurora,,16,273
08/15/2020,Boulder,,0,274
08/15/2020,Broomfield,,0,275
08/15/2020,CO Springs - JD Phillips,,5,276
08/15/2020,CO Springs - Las Vegas,,15,277
08/15/2020,Estes Park + Upper Thompson,,0,278
08/15/2020,Fort Collins - Boxelder,,0,279
08/15/2020,Fort Collins - Drake,,0,280
08/15/2020,Fort Collins - Mulberry,,0,281
08/15/2020,Greeley,,0,282
08/15/2020,Longmont,,0,283
08/15/2020,Louisville,,0,284
08/15/2020,Loveland,,0,285
08/15/2020,Metro Wastewater RWHTF - CC,,27,286
08/07/2020,Pueblo West,,0,287
08/07/2020,South Adams County,,9,288
08/07/2020,South Fort Collins,,0,289
